Хімія,Географія (практика),Фіз-ра,,
Інформатика (лекція),Громадянська освіта,Фізика (лекція),,
Історія України,Математика (лекція),Українська література (лекція),,
Іноземна мова,Географія (лекція),Біологія,,
Географія (лекція),Українська мова (лекція),Українська література (практика),,
,,,,
,,,,
